artist,title,year,lyrics,neg_sentiment,neu_sentiment,pos_sentiment,com_sentiment
dean martin,just for fun,1950,"Just for Fun LyricsLove me love me say you love me
Just for fun
Softly sigh it try it try it
Just for fun
If you're close to me maybe you'll agree
Here at hand that magic land we're seeking constantly

Tingle tingle when we mingle
Just for fun
Let's pretend we'll never end
What we've begun
For if we play at love we may stay in love
Then you'll be glad you tried it just for fun
Tingle tingle when we mingle
Just for fun
Let's pretend we'll never end
What we've begun
For if we play at love we may stay in love
Then you'll be glad you tried it just for funEmbed",0.018,0.59,0.393,0.9959
dean martin,the money song,1950,"The Money Song LyricsIf you got it you don't need it
If you need it you don't got it
You don't get it shame on you
Funny, funny, funny what money can do

Them that have it get more of it
Less they need it the more they love it
And it sticks to them like glue
Funny funny funny what money can do

Ask the rich man he'll confess
Money can't buy happiness
Ask the poor man he don't doubt
But he'd rather be miserable with than without
If you spend it please be wiser
If you save it you're a miser
You don't want it you're cuckoo
Funny, funny, funny what money can do

La money mo no money money mo no
Oh shut up Jerry what are you doing?
I'm singing
This is singing?
Don't you like it?
No I don't like it you want to sing with me?
Can I sing with you?
Sure you can
All right

If I do not need it badly
Folks will give it to you gladly
But I need it
Nuts to you
Funny, funny, funny what money can do

If I am lucky and I make it
You'll be frightened
But who can take it
The Internal Revenue
Funny, funny, funny what money can do
Birds don't got it still they sing
Eating winds up on the wing
Ideal lives some folks affirm
So Ok you're a bird but suppose you're a worm
It's a bad thing oh yes very
For the germs and sanitary
Will you have some
Oh thank you
Funny, funny, funny what money can do

................

If I got it
Who's got it
I don't need it
But I need it
If you need it
And I need it
You don't got it
But I want it
You can't get it shame on you
What can I do
Funny, funny, funny what money can do
Them that have it
Where'd they get it
Get more of it
Can they keep it
The less they need it
Who don't need it
The more they love it
And how they love it
And it sticks to them like glue
Boo hoo
Funny, funny, funny what money can do
Money money we love you
Funny, funny, funny you can doEmbed",0.073,0.607,0.32,0.9991
dean martin,i don't care if the sun don't shine,1950,"I Don’t Care If the Sun Don’t Shine LyricsThey label Vitamin D
If you like Vitamin D
It's quite alright with me
But I am here to say
That I like vitamin love
But I can't get vitamin love
With that doggone sun above....

I don't care if the sun don't shine
I get my lovin' in the evening time
When I'm with my baby
It's no fun with the sun around
But I get going when the sun goes down
And I meet my baby

That's when we kiss and kiss and kiss
And then we kiss some more
Don't ask how many times we kiss
At a time like this, who keeps score?

So I don't care if the sun don't shine
I get my lovin' in the evening time
When I'm with my baby

That's when we kiss and kiss and kiss
And then we kiss some more
Don't ask how many times we kiss
At a time like this, who keeps score?

So I don't care if the sun don't shine
I get my lovin' in the evening time
When I'm with my babyEmbed",0.087,0.653,0.26,0.9911
george shearing,i'll remember april,1950,"I’ll Remember April LyricsGEORGE SHEARING QUINTET
This lovely day will lengthen into evening
We'll sigh goodbye to all we ever had
Alone where we have walked together
I'll remember April and be glad

I'll be content you loved me once in April
Your lips were warm and love and spring were new
I'm not afraid of autumn and her sorrow
For I'll remember April and you
The fire will dwindle into glowing ashes
For flames live such a little while
I won't forget but I won't be lonely
I'll remember April and smileEmbed",0.052,0.791,0.157,0.8359
doris day,here in my arms,1950,"Here in My Arms (with Axel Stordahl & His Orchestra) Lyrics[Verse 1:]
Here in my arms
It's adorable
It's deplorable
That you were never there

When your two lips are so kissable
It's permissible for you to ask your share
Next to my heart
It is ever so lonely
I'm holding only air
Why
Here in my arms
It's adorable
It's deplorable
That you were never there

[Chorus:]
Here in my arms
You're adorable
And you're kissable

[Verse 2:]
It's permissible
For you to ask your share

Next to my heart
It is ever so lonely
I'm holding only air
Why

[Verse 3:]
Here in my arms
It's adorable
(Adorable)
It's deplorable
That you were never there
(That you were never there)Embed",0.043,0.721,0.236,0.9821
vic damone,an affair to remember,1950,"An Affair to Remember (Our Love Affair) Lyrics[Verse]
Our love affair is a wondrous thing
That we'll rejoice in remembering
Our love was born with our first embrace
And a page was torn out of time and space
Our love affair, may it always be
A flame to burn through eternity
So take my hand with a fervent prayer
That we may live and we may share
A love affair to remember
[Instrumental Break]

[Outro]
So take my hand with a fervent prayer
That we may live and we may share
A love affair to rememberEmbed",0.016,0.628,0.356,0.9922
george shearing,conception,1950,"Conception LyricsEat, drink and be miserable
While it's a miracle that we're still here at all
As we sink another belly full
Another cherryfalls bouncin' off the wall
If we live in the dead of night
Then it's a constant fight to be a socialite
Back tides through darkened rooms
With a look of gloom we'll never leave too soon
We're so scared of finding out
What scares us and we're growing up
And knowing what it means
To be bursting at the seams
Souled up and fueled up to our ears
To leave our fears behind
We all know that that just cannot last
Don't live too fast
Smoke, joke and be unrestrained
And when the sun comes up we're gonna feel your pain
As we piss it all down the drain
For another week of a tired campaign
We're so interchangeable
When you've seen one well you've seen us all
But that is just the way we like to be
In trouble but trouble free
We're so scared of finding out
What scares us and we're growing up
And knowing what it means
To be bursting at the seams
Souled up and fueled up to our ears
To leave our fears behind
We all know that that just cannot last
Don't live too fast
Uh, uh, oh
We're so scared of finding out
What scares us and we're growing up
And knowing what it means
To be bursting at the seams
Souled up and fueled up to our ears
To leave our fears behind
We all know that that just cannot last
Don't live too fastEmbed",0.175,0.762,0.063,-0.9859
george shearing,september in the rain,1950,"September In The Rain LyricsThe leaves of brown came tumbling down
Remember, in September, in the rain
The sun went out just like a dying amber
That September in the rain

To every word of love I heard you whisper
The raindrops seemed to play our sweet refrain
Though spring is here, to me it's still September
That September in the rain

To every word of love I heard you whisper
The raindrops seemed to play our sweet refrain
Though spring is here, to me it is still September
That September in the rain
That September that brought the pain
That September in the rainEmbed",0.027,0.795,0.178,0.9545
george shearing,pick yourself up,1950,"Pick Yourself Up LyricsPick yourself up
Take a deep breath
Dust yourself off
And start all over again

Nothing's impossible, I have found
For when my chin is on the ground
I pick myself up
Dust myself off
And start all over again
Don't lose your confidence
If you slip
Be grateful for a pleasant trip
And pick yourself up
Dust yourself off
And start all over again

Work like a soul inspired
Until the battle of the day is won
You may be sick and tired
But you'll be a man, my son

Will you remember the famous men
Who had to fall to rise again
They picked themselves up
Dust themselves off
And start'd all over again

Work like a soul inspired
Till the battle of the day is won
You may be sick and tired
But you'll be a man, my son

Will you remember the famous men
Who had to fall to rise again?
So take a deep breath
Pick yourself up
Dust yourself off
And start all over againEmbed",0.096,0.782,0.122,0.6283
doris day,oh me! oh my! oh you!,1950,"Oh Me! Oh My! Oh You! (with Gene Nelson & The Page Cavanaugh Trio) LyricsOh me, oh my, oh my, oh me, oh you!
Oh me, oh my, oh you!
No other boy will do
Cares would be forever ended
And the world would be so splendid
If you cared enough, dear, to be true
Oh me, oh my, oh you (oh you)
Those lips, those eyes of blue

You're so handsome
You're so sweet
You simply lift me off my feet
Oh me, oh my, oh you!Embed",0.021,0.749,0.231,0.9734
